
"Order No.,Time,Symbol,Side,Price,Quantity,Fee,Role,Realized Profit"
"11573869825,2026-01-11 05:41:01,BTCUSDT Perp,Buy,""90,614.20"",""3,987.1 USDT"",""0.79740496 USDT"",Maker,-3.27796302 USDT"
"11571602118,2026-01-11 03:34:05,BTCUSDT Perp,Sell,""90,539.70"",""21,367.4 USDT"",""8.54694768 USDT"",Taker,0.00000000 USDT"
"11571601668,2026-01-11 03:34:02,BTCUSDT Perp,Sell,""90,539.80"",""181.1 USDT"",""0.03621592 USDT"",Maker,0.00000000 USDT"
"11571585298,2026-01-11 03:33:06,BTCUSDT Perp,Sell,""90,539.70"",""14,576.9 USDT"",""5.83075668 USDT"",Taker,0.24244309 USDT"
"11571585298,2026-01-11 03:33:06,BTCUSDT Perp,Sell,""90,539.80"",""181.1 USDT"",""0.07243184 USDT"",Taker,0.00321171 USDT"
"11571584811,2026-01-11 03:33:06,BTCUSDT Perp,Sell,""90,539.90"",""905.4 USDT"",""0.18107980 USDT"",Maker,0.01705857 USDT"
"11571584811,2026-01-11 03:33:06,BTCUSDT Perp,Sell,""90,539.90"",""543.3 USDT"",""0.10864788 USDT"",Maker,0.01023514 USDT"
"11571584811,2026-01-11 03:33:06,BTCUSDT Perp,Sell,""90,539.90"",""181.1 USDT"",""0.03621596 USDT"",Maker,0.00341171 USDT"
"11571584811,2026-01-11 03:33:05,BTCUSDT Perp,Sell,""90,539.90"",""543.3 USDT"",""0.10864788 USDT"",Maker,0.01023514 USDT"
"11571584704,2026-01-11 03:33:05,BTCUSDT Perp,Sell,""90,539.90"",""181.1 USDT"",""0.03621596 USDT"",Maker,0.00341171 USDT"
"11571584704,2026-01-11 03:33:04,BTCUSDT Perp,Sell,""90,539.90"",""543.3 USDT"",""0.10864788 USDT"",Maker,0.01023514 USDT"
"11571584704,2026-01-11 03:33:04,BTCUSDT Perp,Sell,""90,539.90"",""271.7 USDT"",""0.05432394 USDT"",Maker,0.00511757 USDT"
"11571584454,2026-01-11 03:33:04,BTCUSDT Perp,Sell,""90,539.90"",""181.1 USDT"",""0.03621596 USDT"",Maker,0.00341171 USDT"
"11571584454,2026-01-11 03:33:03,BTCUSDT Perp,Sell,""90,539.90"",""271.7 USDT"",""0.05432394 USDT"",Maker,0.00511757 USDT"
"11571584405,2026-01-11 03:33:03,BTCUSDT Perp,Sell,""90,539.90"",""452.7 USDT"",""0.09053990 USDT"",Maker,0.00852928 USDT"
"11571584405,2026-01-11 03:33:02,BTCUSDT Perp,Sell,""90,539.90"",""362.2 USDT"",""0.07243192 USDT"",Maker,0.00682343 USDT"
